1AD,20161005,0.245,0.245,0.245,0.245,0,0
1AG,20161005,0.043,0.043,0.043,0.043,120233,0
1AL,20161005,0.96,0.96,0.96,0.96,0,0
1PG,20161005,0.22,0.23,0.22,0.225,64269,0
1ST,20161005,0.06,0.06,0.06,0.06,0,0
3DP,20161005,0.029,0.029,0.027,0.027,393483,0
3PL,20161005,1.05,1.06,1.035,1.05,75367,0
4DS,20161005,0.036,0.042,0.036,0.037,14272391,0
88E,20161005,0.049,0.05,0.044,0.045,20928264,0
88EO,20161005,0.039,0.04,0.035,0.036,3092017,0
8CO,20161005,0.16,0.16,0.16,0.16,0,0
8EC,20161005,1.03,1.05,1.03,1.04,135591,0
8ECO,20161005,0.003,0.003,0.003,0.003,0,0
8IH,20161005,0.78,0.78,0.76,0.76,133000,0
9SP,20161005,0.145,0.145,0.145,0.145,149163,0
A2M,20161005,1.79,1.80,1.77,1.79,2285109,0
A2MJOM,20161005,0.965,0.965,0.965,0.965,0,0
A2MJOO,20161005,0.00,0.00,0.00,0.00,0,0
A2MKOC,20161005,0.56,0.56,0.56,0.56,5500,0
A2MKOD,20161005,0.42,0.42,0.42,0.42,0,0
A2MKOE,20161005,0.93,0.93,0.93,0.93,0,0
A2MKOP,20161005,0.00,0.00,0.00,0.00,0,0
A2MKOQ,20161005,0.00,0.00,0.00,0.00,0,0
A2MKOR,20161005,0.00,0.00,0.00,0.00,0,0
A2MKOS,20161005,0.00,0.00,0.00,0.00,0,0
A3D,20161005,1.20,1.205,1.17,1.185,45321,0
AAA,20161005,50.08,50.09,50.08,50.08,14598,0
AAC,20161005,1.84,1.895,1.822,1.855,2295765,0
AACKOB,20161005,0.00,0.00,0.00,0.00,0,0
AACKOC,20161005,0.26,0.26,0.26,0.26,0,0
AAD,20161005,2.80,2.82,2.78,2.80,691519,0
AADKOA,20161005,0.88,0.895,0.88,0.895,0,0
AADKOB,20161005,1.215,1.215,1.215,1.215,0,0
AADKOC,20161005,0.00,0.00,0.00,0.00,0,0
AADKOD,20161005,0.00,0.00,0.00,0.00,0,0
AADKOP,20161005,0.83,0.83,0.83,0.83,0,0
AADKOQ,20161005,0.44,0.44,0.355,0.355,0,0
AAI,20161005,13.00,13.00,13.00,13.00,1000,0
AAJ,20161005,0.01,0.01,0.01,0.01,934504,0
AAK,20161005,0.004,0.004,0.004,0.004,0,0
AAL,20161005,0.005,0.005,0.005,0.005,0,0
AAP,20161005,0.03,0.03,0.03,0.03,500000,0
AAR,20161005,0.018,0.018,0.018,0.018,350000,0
AAU,20161005,0.017,0.017,0.017,0.017,0,0
AB1,20161005,0.17,0.17,0.165,0.165,6888,0
ABA,20161005,5.05,5.13,5.03,5.13,11674,0
ABC,20161005,5.60,5.61,5.525,5.58,1234380,0
