DNA,20160212,0.67,0.69,0.655,0.68,702057
DNA,20160215,0.69,0.7,0.667,0.69,177431
DNA,20160216,0.69,0.717,0.685,0.7,728647
DNA,20160217,0.715,0.715,0.68,0.69,499967
DNA,20160218,0.692,0.715,0.69,0.71,628648
DNA,20160219,0.72,0.735,0.695,0.73,1692414
DNA,20160222,0.73,0.735,0.72,0.73,1982960
DNA,20160223,0.74,0.775,0.735,0.755,1532557
DNA,20160224,0.75,0.77,0.73,0.73,634027
DNA,20160225,0.54,0.585,0.492,0.52,18285067
DNA,20160226,0.53,0.55,0.52,0.54,5081357
DNA,20160229,0.54,0.54,0.51,0.52,4793752
DNA,20160301,0.53,0.54,0.515,0.535,5586839
DNA,20160302,0.53,0.545,0.52,0.545,992029
DNA,20160303,0.54,0.547,0.525,0.535,784303
DNA,20160304,0.54,0.57,0.525,0.57,832342
DNA,20160307,0.56,0.585,0.56,0.58,600184
DNA,20160308,0.585,0.59,0.57,0.58,560838
DNA,20160309,0.575,0.575,0.555,0.575,477355
DNA,20160310,0.58,0.595,0.567,0.595,398984
DNA,20160311,0.6,0.6,0.567,0.595,216918
DNA,20160314,0.595,0.627,0.59,0.6,940920
DNA,20160315,0.61,0.61,0.58,0.6,449749
DNA,20160316,0.6,0.612,0.59,0.595,1032960
DNA,20160317,0.595,0.605,0.59,0.595,441867
DNA,20160318,0.6,0.605,0.58,0.585,3913528
DNA,20160321,0.585,0.605,0.545,0.55,2740995
DNA,20160322,0.57,0.577,0.55,0.57,444310
DNA,20160323,0.57,0.57,0.555,0.56,130890
DNA,20160324,0.56,0.565,0.53,0.53,437082
DNA,20160329,0.53,0.55,0.53,0.54,208105
DNA,20160330,0.55,0.555,0.53,0.54,356459
DNA,20160331,0.535,0.545,0.53,0.545,372194
DNA,20160401,0.545,0.555,0.54,0.55,110314
DNA,20160404,0.54,0.55,0.54,0.55,32133
DNA,20160405,0.545,0.545,0.525,0.53,79209
DNA,20160406,0.54,0.54,0.525,0.525,53181
DNA,20160407,0.53,0.535,0.51,0.53,196149
DNA,20160408,0.52,0.53,0.5,0.5,329533
DNA,20160411,0.5,0.515,0.477,0.51,309329
DNA,20160412,0.495,0.505,0.48,0.505,196684
DNA,20160413,0.505,0.507,0.475,0.48,220992
DNA,20160414,0.5,0.505,0.48,0.5,162388
DNA,20160415,0.515,0.515,0.49,0.5,218297
DNA,20160418,0.5,0.51,0.49,0.5,2741154
DNA,20160419,0.51,0.515,0.49,0.49,294690
DNA,20160420,0.495,0.497,0.48,0.48,335627
DNA,20160421,0.49,0.49,0.465,0.475,354161
DNA,20160422,0.48,0.55,0.465,0.5,580656
DNA,20160426,0.497,0.497,0.47,0.47,187886
DNA,20160427,0.49,0.49,0.45,0.45,539997
DNA,20160428,0.47,0.47,0.435,0.445,597602
DNA,20160429,0.45,0.475,0.45,0.45,525173
DNA,20160502,0.462,0.475,0.455,0.47,249201
DNA,20160503,0.475,0.48,0.455,0.47,898080
DNA,20160504,0.46,0.475,0.455,0.465,425999
DNA,20160505,0.47,0.48,0.46,0.48,180126
DNA,20160506,0.48,0.505,0.477,0.5,591301
DNA,20160509,0.505,0.51,0.49,0.51,277871
DNA,20160510,0.51,0.515,0.492,0.5,877996
DNA,20160511,0.5,0.5,0.495,0.5,295018
DNA,20160512,0.495,0.51,0.495,0.505,101130
DNA,20160513,0.515,0.53,0.51,0.525,368551
DNA,20160516,0.52,0.54,0.51,0.52,405995
DNA,20160517,0.515,0.535,0.51,0.515,94911
DNA,20160518,0.5,0.5,0.46,0.47,1138336
DNA,20160519,0.475,0.487,0.465,0.465,592973
DNA,20160520,0.465,0.475,0.455,0.475,355202
DNA,20160523,0.46,0.47,0.455,0.465,316444
DNA,20160524,0.455,0.465,0.44,0.455,604884
DNA,20160525,0.45,0.455,0.435,0.44,812429
DNA,20160526,0.435,0.45,0.42,0.42,1134204
DNA,20160527,0.425,0.425,0.415,0.42,528213
DNA,20160530,0.42,0.44,0.42,0.435,657910
DNA,20160531,0.435,0.435,0.405,0.415,1407632
DNA,20160601,0.41,0.415,0.4,0.41,363619
DNA,20160602,0.415,0.42,0.41,0.41,144176
DNA,20160603,0.41,0.417,0.395,0.4,2082697
DNA,20160606,0.4,0.405,0.385,0.385,318497
DNA,20160607,0.39,0.425,0.39,0.425,470483
DNA,20160608,0.425,0.455,0.422,0.455,922996
DNA,20160609,0.455,0.467,0.45,0.465,1097636
DNA,20160610,0.47,0.47,0.44,0.46,811724
DNA,20160614,0.47,0.47,0.44,0.46,1662872
